Movie,Directors,Ranking,year,region,length,genre
Brazil,Terry Gilliam,177,1985, UK ,131m, Science Fiction
Celine and Julie Go Boating,Jacques Rivette,178,1974, France ,192m, Avant-garde-Experimental
The Travelling Players,Theo Angelopoulos,179,1975, Greece ,230m, Drama
Out of the Past,Jacques Tourneur,180,1947, USA ,97m, Crime
The Last Laugh,F.W. Murnau,181,1924, Germany ,77m, Drama
Spring in a Small Town,Fei Mu,182,1948, China ,85m, Drama
Sweet Smell of Success,Alexander Mackendrick,183,1957, USA ,96m, Drama
Belle de jour,Luis Buñuel,184,1967, France-Italy ,100m, Satire
The Birds,Alfred Hitchcock,185,1963, USA ,120m, Horror
Performance,Nicolas Roeg & Donald Cammell,186,1970, UK ,105m, Psychological Drama
The Best Years of Our Lives,William Wyler,187,1946, US ,172m, Family Drama
Kes,Ken Loach,188,1969, UK ,113m, Coming-of-Age
Umberto D.,Vittorio De Sica,189,1952, Italy ,89m, Urban Drama
Ran,Akira Kurosawa,190,1985, France-Japan ,161m, Historical Epic
Night and Fog,Alain Resnais,191,1955, France ,32m, Military & War
The Texas Chainsaw Massacre,Tobe Hooper,192,1974, USA ,83m, Horror
Red River,Howard Hawks,193,1948, USA ,133m, Western
Fargo,Joel Coen & Ethan Coen,194,1996, USA ,98m, Crime
Close Encounters of the Third Kind,Steven Spielberg,195,1977, USA ,135m, Science Fiction
The Thin Red Line,Terrence Malick,196,1998, USA ,170m, War Drama
The Quiet Man,John Ford,197,1952, USA ,129m, Comedy Drama
Death in Venice,Luchino Visconti,198,1971, Italy ,130m, Drama
The Piano,Jane Campion,199,1993, New Zealand-Australia-France ,121m, Romantic Drama
Nights of Cabiria,Federico Fellini,200,1957, Italy-France ,110m, Melodrama
CachÃ©,Michael Haneke,201,2005, France-Austria-Germany-Italy ,117m, Drama
"SalÃ², or the 120 Days of Sodom",Pier Paolo Pasolini,202,1975, Italy ,117m, Drama
Spirited Away,Hayao Miyazaki,203,2001, Japan ,124m, Fantasy Adventure
Le SamouraÃ¯,Jean-Pierre Melville,204,1967, France ,95m, Crime Thriller
Nanook of the North,Robert Flaherty,205,1922, USA ,79m, Anthropology
Chungking Express,Wong Kar-wai,206,1994, Hong Kong ,104m, Urban Drama
McCabe & Mrs. Miller,Robert Altman,207,1971, USA ,121m, Drama
A City of Sadness,Hou Hsiao-hsien,208,1989, Taiwan-Hong Kong ,157m, Family Drama
Schindler's List,Steven Spielberg,209,1993, USA ,195m, War Drama
"Ivan the Terrible, Part 2",Sergei Eisenstein,210,1946, USSR ,88m, Historical Film
Breaking the Waves,Lars von Trier,211,1996, Denmark-Sweden-France-Netherlands-Norway-Iceland-Spain ,156m, Psychological Drama
Paisan,Roberto Rossellini,212,1946, Italy ,120m, Drama
Wings of Desire,Wim Wenders,213,1987, West Germany-France ,130m, Fantasy
The Exorcist ,William Friedkin,214,1973, USA ,122m, Horror
The Graduate,Mike Nichols,215,1967, USA ,105m, Comedy
Sullivan's Travels,Preston Sturges,216,1941, USA ,91m, Comedy
Raiders of the Lost Ark,Steven Spielberg,217,1981, USA ,115m, Adventure
Two or Three Things I Know About Her,Jean-Luc Godard,218,1966, France ,87m, Essay Film
The Cabinet of Dr. Caligari,Robert Wiene,219,1920, Germany ,69m, Horror
Wavelength,Michael Snow,220,1967, Canada-USA ,45m, Abstract FilmHollis Frampton
Ashes and Diamonds,Andrzej Wajda,221,1958, Poland ,96m, Political Drama
Vampyr,Carl Theodor Dreyer,222,1932, Germany-France ,73m, Horror
The Big Lebowski,Joel Coen & Ethan Coen,223,1998, USA-UK ,113m, Crime Comedy
Kind Hearts and Coronets,Robert Hamer,224,1949, UK ,104m, Black Comedy
Meet Me in St. Louis,Vincente Minnelli,225,1944, USA ,113m, Musical
The Treasure of the Sierra Madre,John Huston,226,1948, USA ,124m, Adventure
The Crowd,King Vidor,227,1928, USA ,104m, Drama
Solaris,Andrei Tarkovsky,228,1972, USSR ,165m, Science Fiction
Diary of a Country Priest,Robert Bresson,229,1951, France ,120m, Psychological Drama
Groundhog Day,Harold Ramis,230,1993, USA ,103m, Fantasy Comedy
The Colour of Pomegranate,Sergei Parajanov,231,1969, USSR ,73m, Avant-garde-Experimental
"Black God, White Devil",Glauber Rocha,232,1964, Brazil ,110m, Road Movie
Unforgiven,Clint Eastwood,233,1992, USA ,127m, Western
Only Angels Have Wings,Howard Hawks,234,1939, USA ,121m, Adventure
Bonnie and Clyde,Arthur Penn,235,1967, USA ,111m, Gangster Film
El Verdugo,Luis García Berlanga,236,1963, Spain-Italy ,90m, Comedy Drama
"Germany, Year Zero",Roberto Rossellini,237,1947, Italy-West Germany ,74m, War Drama
Eternal Sunshine of the Spotless Mind,Michel Gondry,238,2004, USA ,108m, Comedy Drama
Mean Streets,Martin Scorsese,239,1973, USA ,110m, Crime
The Tree of Life,Terrence Malick,240,2011, USA ,139m, Drama
The Life of Oharu,Kenji Mizoguchi,241,1952, Japan ,146m, Drama
Johnny Guitar,Nicholas Ray,242,1954, USA ,110m, Western
Tabu,F.W. Murnau,243,1931, USA ,82m, Romance
Meshes of the Afternoon,Maya Deren & Alexander Hammid,244,1943, USA ,15m, Avant-garde-Experimental
The Band Wagon,Vincente Minnelli,245,1953, USA ,112m, Musical
Magnolia,Paul Thomas Anderson,246,1999, USA ,188m, Drama
The Thin Blue Line,Errol Morris,247,1988, USA ,96m, Law & Crime
Zero for Conduct,Jean Vigo,248,1933, France ,41m, Coming-of-Age
"Paris, Texas",Wim Wenders,249,1984, USA ,150m, Drama
The Shop Around the Corner,Ernst Lubitsch,250,1940, USA ,97m, Comedy
Tropical Malady,Apichatpong Weerasethakul,251,2004, France-Thailand-Germany-Italy-Switzerland ,118m, Avant-garde-Experimental
Three Colours: Red,Krzysztof Kieslowski,252,1994, France-Switzerland-Poland ,99m, Psychological Drama
Floating Clouds,Mikio Naruse,253,1955, Japan ,123m, Drama
"Ivan the Terrible, Part 1",Sergei Eisenstein,254,1944, USSR ,96m, Historical Film
La Notte,Michelangelo Antonioni,255,1961, Italy-France ,120m, Psychological Drama
Night of the Living Dead,George A. Romero,256,1968, USA ,96m, Horror
Crimes and Misdemeanors,Woody Allen,257,1989, USA ,104m, Comedy Drama
Three Colours: Blue,Krzysztof Kieslowski,258,1993, France-Poland-Switzerland ,100m, Psychological Drama
"Distant Voices, Still Lives",Terence Davies,259,1988, UK ,85m, Family Drama
Faces,John Cassavetes,260,1968, USA ,130m, Marriage Drama
The Story of the Last Chrysanthemums,Kenji Mizoguchi,261,1939, Japan ,143m, Period Film
My Neighbour Totoro,Hayao Miyazaki,262,1988, Japan ,86m, Children's Fantasy
Broken Blossoms,D.W. Griffith,263,1919, USA ,90m, Melodrama
My Night at Maud's,Eric Rohmer,264,1969, France ,105m, Comedy of Manners
Paths of Glory,Stanley Kubrick,265,1957, USA ,86m, Anti-War Film
The Wages of Fear,Henri-Georges Clouzot,266,1953, France-Italy ,105m, Thriller
F for Fake,Orson Welles,267,1973, France-Iran-West Germany ,85m, Avant-garde-Experimental
Throne of Blood,Akira Kurosawa,268,1957, Japan ,108m, Drama
In a Lonely Place,Nicholas Ray,269,1950, USA ,91m, Psychological Drama
Freaks,Tod Browning,270,1932, USA ,64m, Melodrama
Week-End,Jean-Luc Godard,271,1967, France-Italy ,103m, Avant-garde-Experimental
