Movie,Directors,Ranking
A Moment of Innocence,Mohsen Makhmalbaf,415
Early Summer,Yasujiro Ozu,416
The White Ribbon,Michael Haneke,417
Hour of the Wolf,Ingmar Bergman,418
Barren Lives,Nelson Pereira dos Santos,419
The Cameraman,Buster Keaton & Edward Sedgwick,420
Mon oncle,Jacques Tati,421
Taste of Cherry,Abbas Kiarostami,422
The House is Black,Forugh Farrokhzad,423
Five Easy Pieces,Bob Rafelson,424
The Long Goodbye,Robert Altman,425
Two-Lane Blacktop,Monte Hellman,426
Land Without Bread,Luis Buñuel,427
__ nos amours,Maurice Pialat,428
Opening Night,John Cassavetes,429
Talk to Her,Pedro Almodóvar,430
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,431
Le Plaisir,Max Ophüls,432
The Tree of Wooden Clogs,Ermanno Olmi,433
The Hour of the Furnaces,Fernando E. Solanas & Octavio Getino,434
The Gleaners & I,Agnès Varda,435
The Elephant Man,David Lynch,436
The Sound of Music,Robert Wise,437
Masculin Feminin,Jean-Luc Godard,438
Closely Watched Trains,Jirí Menzel,439
Pyaasa,Guru Dutt,440
Yellow Earth,Chen Kaige,441
Punch-Drunk Love,Paul Thomas Anderson,442
Withnail & I,Bruce Robinson,443
To Have and Have Not,Howard Hawks,444
Dersu Uzala,Akira Kurosawa,445
Koyaanisqatsi,Godfrey Reggio,446
The Turin Horse,Béla Tarr,447
Kagemusha,Akira Kurosawa,448
The Lady from Shanghai,Orson Welles,449
"Crouching Tiger, Hidden Dragon",Ang Lee,450
The Sorrow and the Pity,Marcel Ophüls,451
The Death of Mr. Lazarescu,Cristi Puiu,452
A Night at the Opera,Sam Wood,453
Platform,Jia Zhangke,454
The Terminator,James Cameron,455
Toy Story,John Lasseter,456
Halloween,John Carpenter,457
Some Came Running,Vincente Minnelli,458
Senso,Luchino Visconti,459
The Wind,Victor Sjöström,460
Muriel,Alain Resnais,461
Strangers on a Train,Alfred Hitchcock,462
Easy Rider,Dennis Hopper,463
Marketa Lazarov_¡,Frantisek Vlácil,464
Mad Max 2,George Miller,465
Elephant,Gus Van Sant,466
Boogie Nights,Paul Thomas Anderson,467
Shane,George Stevens,468
The Scarlet Empress,Josef von Sternberg,469
The Wind Will Carry Us,Abbas Kiarostami,470
Fantasia,Various Directors,471
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde & Muffie Meyer",472
Alexander Nevsky,Sergei Eisenstein,473
Oldboy,Park Chan-wook,474
12 Angry Men,Sidney Lumet,475
The Cranes Are Flying,Mikhail Kalatozov,476
Shadow of a Doubt,Alfred Hitchcock,477
Safe,Todd Haynes,478
Short Cuts,Robert Altman,479
Gimme Shelter,"Albert Maysles, David Maysles & Charlotte Zwerin",480
Tootsie,Sydney Pollack,481
All That Jazz,Bob Fosse,482
La R_©gion centrale,Michael Snow,483
Top Hat,Mark Sandrich,484
Naked,Mike Leigh,485
Les Vampires,Louis Feuillade,486
Limelight,Charles Chaplin,487
The Flowers of St. Francis,Roberto Rossellini,488
Repulsion,Roman Polanski,489
Accattone,Pier Paolo Pasolini,490
India Song,Marguerite Duras,491
Winter Light,Ingmar Bergman,492
The Lives of Others,Florian Henckel von Donnersmarck,493
All the President's Men,Alan J. Pakula,494
Pinocchio,Ben Sharpsteen & Hamilton Luske,495
Chronicle of a Summer,Jean Rouch & Edgar Morin,496
Lost in Translation,Sofia Coppola,497
The Enigma of Kaspar Hauser,Werner Herzog,498
Triumph of the Will,Leni Riefenstahl,499
Melancholia,Lars von Trier,500
Dead Man,Jim Jarmusch,501
Lola,Jacques Demy,502
"Steamboat Bill, Jr.",Buster Keaton & Charles Reisner,503
The Phantom of Liberty,Luis Buñuel,504
Wagon Master,John Ford,505
Casino,Martin Scorsese,506
Shadows of Our Forgotten Ancestors,Sergei Parajanov,507
Flowers of Shanghai,Hou Hsiao-hsien,508
Hoop Dreams,Steve James,509
Miracle in Milan,Vittorio De Sica,510
Point Blank,John Boorman,511
Frankenstein,James Whale,512
The Big Heat,Fritz Lang,513
Forrest Gump,Robert Zemeckis,514
Pat Garrett and Billy the Kid,Sam Peckinpah,515
The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,516
Barton Fink,Joel Coen & Ethan Coen,517
Tale of Tales,Yuriy Norshteyn,518
Hannah and Her Sisters,Woody Allen,519
The Silence,Ingmar Bergman,520
The Rise to Power of Louis XIV,Roberto Rossellini,521
A.I. Artificial Intelligence,Steven Spielberg,522
Alphaville,Jean-Luc Godard,523
The Damned,Luchino Visconti,524
The Wedding March,Erich von Stroheim,525
In Vanda's Room,Pedro Costa,526
The Devils,Ken Russell,527
East of Eden,Elia Kazan,528
Rebel Without a Cause,Nicholas Ray,529
Doctor Zhivago,David Lean,530
Bigger Than Life,Nicholas Ray,531
The Servant,Joseph Losey,532
A Separation,Asghar Farhadi,533
La Terra trema,Luchino Visconti,534
